[2023-04-20 20:39:26] Opened Log File logs/2023-04-20_20-39-26_log.txt
[2023-04-20 20:43:49] DATA: {'ph': 2.0, 'ec': 103.29, 'temp': 23.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:52] DATA: {'ph': 1.97, 'ec': 103.65, 'temp': 22.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:55] DATA: {'ph': 1.97, 'ec': 104.93, 'temp': 22.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:43:58] DATA: {'ph': 2.0, 'ec': 104.08, 'temp': 21.94, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:01] DATA: {'ph': 1.97, 'ec': 106.06, 'temp': 21.75, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:04] DATA: {'ph': 1.97, 'ec': 105.21, 'temp': 21.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:07] DATA: {'ph': 1.97, 'ec': 106.66, 'temp': 21.25, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:10] DATA: {'ph': 1.97, 'ec': 106.26, 'temp': 21.0, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:13] DATA: {'ph': 2.0, 'ec': 107.23, 'temp': 20.87, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:16] DATA: {'ph': 2.0, 'ec': 107.63, 'temp': 20.69, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:19] DATA: {'ph': 2.0, 'ec': 107.8, 'temp': 20.5, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:22] DATA: {'ph': 2.0, 'ec': 108.55, 'temp': 20.37, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:25] DATA: {'ph': 1.97, 'ec': 108.25, 'temp': 20.19, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:28] DATA: {'ph': 1.97, 'ec': 109.47, 'temp': 20.06, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:31] DATA: {'ph': 2.0, 'ec': 108.71, 'temp': 19.87, 'waterHigh': 1.0, 'waterMid': 1.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:34] DATA: {'ph': 2.0, 'ec': 110.17, 'temp': 19.75, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:37] DATA: {'ph': 2.0, 'ec': 109.16, 'temp': 19.56, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:40] DATA: {'ph': 1.97, 'ec': 110.6, 'temp': 19.56, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
[2023-04-20 20:44:43] DATA: {'ph': 1.97, 'ec': 109.93, 'temp': 19.44, 'waterHigh': 1.0, 'waterMid': 0.0, 'waterLow': 1.0, 'flow': 0.0}
